STATEFIP,emp_tot,emp_for,emp_nat,emp_noncit,n_obs,n_obs_for,foreign_share,noncit_share,usable
24,111806178.19320022,24234891.76959999,87571286.42360014,10949773.03410001,21645,4664,0.21675807331257027,0.09793531279800018,TRUE
8,111601856.47570083,13212908.377799999,98388948.09790099,7382340.931999991,24314,2760,0.1183932668779292,0.06614890795842052,TRUE
55,109478042.07790025,7175197.103800009,102302844.97409986,4599582.428099999,26440,1705,0.06554005686998332,0.04201374395083827,TRUE
27,108758453.60960062,11848574.032199988,96909879.57740064,5731267.7999000065,25619,2621,0.10894393620868897,0.052697216719106425,TRUE
29,108002365.8328005,6401968.747300001,101600397.08550039,3219634.7372000017,25629,1477,0.05927618990505218,0.029810779721106753,TRUE
45,87034733.0213994,8408430.591600012,78626302.42980002,5243192.663700002,27747,2661,0.09661005784360384,0.0602425317075523,TRUE
1,81444329.85749972,4246087.8967,77198241.96079934,2899733.113799997,32912,1713,0.05213484970812862,0.03560386731493228,TRUE
41,75340795.57980001,9538000.520499991,65802795.05929975,5136492.206299995,28040,3488,0.12659808603159045,0.06817677151895069,TRUE
22,71539798.78019996,5139292.131999986,66400506.64820004,3297121.1393999974,35073,2397,0.07183822459146175,0.0460879286162116,TRUE
21,71376403.33919983,6082785.9535,65293617.385699674,4414278.2779,17777,1382,0.08522124496232976,0.061845064634626724,TRUE
40,68066880.59649989,6464634.525600007,61602246.07089992,4254737.943799994,25242,2298,0.09497474350150298,0.06250819644611097,TRUE
9,66706428.76179991,14003625.156399976,52702803.60539984,6539941.823800006,19380,3909,0.209929168992169,0.0980406528305285,TRUE
49,62455917.87619996,7207136.173799972,55248781.702399775,4590468.268399991,31680,3585,0.11539556888885931,0.07349933240112189,TRUE
19,59528250.50950027,4701566.481299998,54826684.02820028,2961639.2874999964,21812,1692,0.07898042427014822,0.04975182811776638,TRUE
32,54691332.823100016,13036197.30879999,41655135.51429996,6460521.303800001,22862,5498,0.23835947372074068,0.11812696766225572,TRUE
20,53281734.58229962,5576756.670800002,47704977.91149983,3253352.773299998,22553,2292,0.10466544894828969,0.0610594380758162,TRUE
5,48326545.85579902,3670053.314300004,44656492.5414992,2547808.965299997,28964,2144,0.07594280222822113,0.05272069253412757,TRUE
28,43851728.133100025,1568347.7737999985,42283380.359299995,937872.8895999995,25961,873,0.03576478831209808,0.021387364410208436,TRUE
31,37055414.76359993,3963942.3157000015,33091472.44790001,2322662.8340999996,23729,2393,0.10697336248935578,0.06268079439719522,TRUE
16,34385166.32869982,3144217.0004000072,31240949.328299925,2029472.151699998,31881,2861,0.09144108742541299,0.05902173432286366,TRUE
35,32845927.98720009,4023763.6846000073,28822164.302600197,2348051.713700005,24957,3096,0.12250418639924103,0.07148684350203259,TRUE
54,26901362.06759998,667938.3621999999,26233423.705399986,356378.0513999997,30313,715,0.024829165174668436,0.013247583914318663,TRUE
33,26627536.516800046,2033572.527800001,24593963.98900013,758196.8732999986,23069,1686,0.07637103516943687,0.028474165186915857,TRUE
23,24269175.702400085,849363.8485000002,23419811.85390008,401371.5639999997,13625,531,0.034997638935713955,0.016538327008786966,TRUE
15,23539309.61779985,4679847.016599994,18859462.60119996,1839053.4984000023,25158,5342,0.19880986709402934,0.07812690891364779,TRUE
30,20425962.07150014,564466.4964000008,19861495.575100128,299085.1021,30925,847,0.027634756905163718,0.014642399758359795,TRUE
44,20221653.169100083,3469264.4209,16752388.748200055,1559735.497600001,15486,2538,0.1715618595516833,0.07713194784605305,TRUE
46,17386363.864800088,848243.7273000005,16538120.137500072,491689.7329000002,22183,1032,0.04878787387035707,0.028280193416143816,TRUE
10,17331165.45940005,2692077.1868999996,14639088.272500003,1416215.8451999975,18624,2786,0.15533157266350342,0.08171498036399351,TRUE
38,14721845.230800008,918298.9096000011,13803546.321200075,554073.9199999991,27681,1565,0.06237661755055003,0.03763617340853473,TRUE
11,13358279.428599976,2277883.1736999964,11080396.25490008,1136076.2538000017,28780,5055,0.1705221983022054,0.08504660049015526,TRUE
50,12348326.426000115,690395.0887000001,11657931.337300094,275518.0813000002,24809,1356,0.05591001281326134,0.02231217995014134,TRUE
2,12136783.700199977,1032438.0992999997,11104345.600899994,434973.97679999954,19448,1678,0.08506686160049044,0.035839311925187606,TRUE
56,10296811.968700074,372766.06810000056,9924045.900600042,204185.56240000008,25041,887,0.0362020855807723,0.01982997873717389,TRUE
