IND1990,emp_tot,emp_for,emp_nat,emp_noncit,n_obs,n_obs_for,foreign_share,noncit_share,usable
512,6032477.638600002,883984.9845,5148492.654099997,345537.9927000001,1730,207,0.1465376313778019,0.05727961434767812,TRUE
660,6026281.197799994,1206721.3538000004,4819559.843999989,340686.2730000001,1809,315,0.20024312078907577,0.05653341784388919,TRUE
371,5935886.945500009,1047392.1740999995,4888494.771400007,280122.4237,1724,258,0.17645082928913036,0.04719133404526186,TRUE
101,5933372.049100013,1008443.8182000008,4924928.230900005,595791.0690000001,1860,316,0.16996133225000845,0.10041356990084095,TRUE
652,5818655.554999999,658491.4637000001,5160164.0913,262409.10790000006,1725,171,0.11316900570513325,0.04509789339128532,TRUE
822,5683108.503900004,595037.2359999999,5088071.267900003,91830.3514,1784,151,0.10470277588254011,0.0161584723108809,TRUE
502,5563753.874599991,923262.3639999996,4640491.5106000025,470685.76460000005,1688,223,0.16594234482854042,0.08459859569791632,TRUE
742,5540130.539799995,1047992.3992999997,4492138.140500002,553877.1907999996,1509,229,0.18916384582841136,0.09997547653813862,TRUE
500,5522192.2239000015,903641.8843,4618550.339599994,414700.85750000016,1532,217,0.16363825228485265,0.07509714270814014,TRUE
110,5469766.350599992,826175.7610000002,4643590.589599996,531157.9809,1776,231,0.15104406807237294,0.09710798356893909,TRUE
451,5448971.900899994,574791.3405,4874180.5603999905,153369.68980000005,1733,141,0.10548620014081245,0.028146537106324282,TRUE
562,5418777.365100007,1220855.0953000002,4197922.269799996,619500.5327000001,1564,301,0.2253008405849995,0.11432478047353158,TRUE
901,5380598.593000001,618227.8268999998,4762370.766099993,108150.1491,1711,144,0.11489945146703487,0.020100021815546716,TRUE
312,5379765.2379000075,526917.9649999997,4852847.272900004,273455.1569,1878,151,0.09794441610349568,0.05083031411362167,TRUE
251,5357867.043299996,1068842.8976000005,4289024.145699997,583345.0902,1609,276,0.19949037349416626,0.10887636544275059,TRUE
231,5325657.91200001,509852.7272,4815805.184800002,368203.5805,1870,128,0.0957351627957885,0.06913767023419722,TRUE
182,5320728.796900003,1199410.4261000005,4121318.3708000015,654657.7168,1493,285,0.225422206596737,0.1230391064437302,TRUE
102,5268694.717400012,1618394.6056999995,3650300.1117000044,1041354.3887999995,1634,477,0.3071718314510055,0.19764940742550474,TRUE
661,5242641.862799998,769696.6098999997,4472945.2529000025,340003.1253000002,1549,200,0.14681464613509168,0.06485339532966129,TRUE
780,5241372.694500005,1266175.5618000003,3975197.1326999958,610557.6309999996,1408,301,0.24157327394952322,0.11648811610757687,TRUE
630,5176904.675399997,454454.08560000017,4722450.589800003,245758.57880000002,1397,107,0.08778490509193826,0.04747210818229163,TRUE
250,5029883.021999998,935029.3395000001,4094853.6825000024,582044.9306000002,1413,234,0.18589484793390101,0.11571738906336745,TRUE
821,4937911.925399993,366841.2087000001,4571070.716700001,88330.79250000001,1521,97,0.07429075573685619,0.017888288376639045,TRUE
781,4887802.128299999,331999.18379999994,4555802.944499997,127485.90299999999,1569,74,0.06792402292182619,0.02608245989784783,TRUE
311,4800299.902800006,478749.6564,4321550.246400003,346988.6643000001,1742,147,0.09973328043957133,0.07228478872697147,TRUE
452,4314912.665499993,623048.5739000004,3691864.091599998,230054.5453,1242,138,0.14439424901495762,0.0533161533347842,TRUE
322,4189826.610299999,1466217.5863,2723609.023999999,635933.9484,1186,363,0.349947079598842,0.1517804929771225,TRUE
171,4120334.079799998,364057.0266999999,3756277.053099995,102300.4893,1330,107,0.08835619142748524,0.024828202596854886,TRUE
560,4052992.2418000004,383893.3902000001,3669098.8515999983,142256.82609999998,1225,93,0.09471851099066174,0.03509921006826832,TRUE
851,3830223.737200007,558514.137,3271709.6002000063,175555.15659999996,1129,131,0.14581762719905453,0.045834178012884266,TRUE
770,3686061.283100001,200195.64779999998,3485865.6353000035,65156.458300000006,1219,58,0.05431153538273085,0.017676444664317413,TRUE
390,3623124.475099999,728870.1933999998,2894254.2816999997,432993.5882,1151,190,0.2011717230277833,0.11950833905259335,TRUE
752,3531347.313000002,673595.6779000001,2857751.6350999996,334744.1119000001,1001,162,0.19074750178785366,0.09479218049940927,TRUE
161,3378094.463699999,620556.3957000006,2757538.0679999995,408813.53169999993,890,151,0.18370013105563374,0.12101897566601198,TRUE
681,3358496.310099995,774224.7853999998,2584271.5247,489050.48130000004,1086,199,0.23052721036842472,0.14561590549594475,TRUE
672,3310909.8101999974,117490.66930000001,3193419.140899998,47545.575099999995,1173,48,0.03548591657134355,0.014360274917040998,TRUE
542,3303289.6714999974,1265550.0134000005,2037739.6581,693870.4077999998,873,293,0.38311808507708756,0.21005436301470914,TRUE
873,3282148.731499999,336318.5571,2945830.1743999985,131970.50829999996,1064,90,0.10246901789435257,0.04020857038970539,TRUE
552,3273756.232899997,459955.2512999999,2813800.9815999963,275498.26000000007,1143,112,0.14049770923003543,0.08415356562939783,TRUE
341,3228260.799199999,793942.0560999999,2434318.743100001,369502.3549,878,182,0.24593491836122663,0.11445864441669862,TRUE
861,3160698.7503,281823.6749,2878875.0753999995,119094.7243,966,78,0.08916499077087005,0.03767987198675484,TRUE
50,3128574.739300004,291163.5685000002,2837411.170800002,245753.8806000001,1270,95,0.09306588231456026,0.07855138555999008,TRUE
320,3078481.1987000057,295268.04869999987,2783213.1500000022,177709.13850000003,884,81,0.09591354620735931,0.05772623804720452,TRUE
420,3037242.148600004,420686.8864,2616555.2622000035,197232.16249999998,910,100,0.13850949835985674,0.06493791171405704,TRUE
122,2943537.570399997,818016.4362000006,2125521.1341999993,438275.5033999999,839,243,0.2779024954279216,0.14889414281892205,TRUE
142,2923359.112799998,482306.4391,2441052.673699998,219513.3064,860,125,0.16498364398277643,0.07508940842705768,TRUE
112,2841422.702800002,654357.1303999999,2187065.5724,362164.90129999997,940,162,0.23029207507745386,0.12745900176806307,TRUE
230,2829020.1772000035,103454.60020000003,2725565.5770000033,94270.63730000002,1165,32,0.03656905703033665,0.033322716486703714,TRUE
671,2801673.9436999965,510321.0454000002,2291352.8982999986,322114.57050000003,899,116,0.1821486210226344,0.11497218340639716,TRUE
332,2771071.390599999,455663.6451,2315407.7454999997,229126.6163,820,113,0.16443590975162087,0.08268520871647012,TRUE
162,2613285.230399998,416052.0004000002,2197233.229999999,170576.4275,717,108,0.1592065020534777,0.06527279361460708,TRUE
340,2516822.5535000004,369636.2680999999,2147186.2853999995,202319.54659999994,662,86,0.14686624116029476,0.08038689351326965,TRUE
501,2493524.159799997,710655.0775999997,1782869.082200002,409563.8726999997,670,156,0.2850002775417266,0.16425101440879977,TRUE
632,2420295.366600004,300295.21900000004,2120000.147600001,176498.9908,733,66,0.12407378997789449,0.07292456666061516,TRUE
262,2292299.567299998,648447.0298000005,1643852.5375000003,413210.182,719,167,0.2828805794191108,0.18026011429505379,TRUE
190,2284647.644100002,403436.4237,1881211.2204,231011.44879999998,606,92,0.17658584015870285,0.10111469459922036,TRUE
