OCC2010,emp_tot,emp_for,emp_nat,emp_noncit,n_obs,n_obs_for,foreign_share,noncit_share,usable
4230,50092123.523500286,28230929.150900017,21861194.37260007,20670239.676200017,14686,7593,0.563580203136242,0.41264450820302623,TRUE
20,47609669.721799806,5308526.566699999,42301143.155099876,1972000.3831000018,14402,1327,0.11150101644728064,0.0414201651602101,TRUE
4250,47015217.621000074,18372072.268400013,28643145.35259999,14773681.993600009,13383,4443,0.3907686319034253,0.31423191768873393,TRUE
6230,46229930.50060005,18283213.035800014,27946717.464799967,14273537.943099981,13279,4300,0.3954843288281107,0.3087510145167689,TRUE
8965,46213248.72209984,10723407.27800002,35489841.44410006,6480951.322900005,13305,2723,0.23204184026283206,0.14024011516421958,TRUE
5860,45618478.394000046,6083730.800600002,39534747.593400046,2316113.439299999,13523,1520,0.13336110748928798,0.050771387403500616,TRUE
2100,44387595.243599996,3241546.7612,41146048.4824,798482.2755000003,14492,963,0.0730282130268677,0.017988860876961544,TRUE
4710,43477810.231700115,6918972.671899996,36558837.55980014,2626950.9839,13155,1645,0.15913802086691345,0.060420498868286224,TRUE
5400,43033777.38230001,4410738.216299989,38623039.16599994,1749796.8330000015,12848,1109,0.10249479559082689,0.04066100954734457,TRUE
310,42654950.26610013,10111835.444800003,32543114.821300045,4244395.03580001,12530,2640,0.2370612409982423,0.09950533312831518,TRUE
5120,42609980.434600025,5502019.1466,37107961.28800009,1684339.3246999988,14130,1393,0.12912512727023612,0.03952922079570557,TRUE
5000,42585025.22089979,4495416.1149,38089609.10599971,1254638.1923,13063,1121,0.1055633075613103,0.029461957244168807,TRUE
220,41378445.839200154,6528505.677700014,34849940.161500074,3155034.687300003,12431,1589,0.15777551682511937,0.0762482646052177,TRUE
50,41218210.15740021,3954660.074799998,37263550.0826002,1514965.9744999995,11536,992,0.0959444881206223,0.03675477340512338,TRUE
4850,41151332.11679992,4361867.359499997,36789464.7573,1707344.9196999997,12018,1031,0.10599577547379753,0.04148942043611222,TRUE
1107,40352863.98970019,8773559.892699987,31579304.09700004,3492293.401699997,11022,2105,0.21742099631241493,0.08654387957671066,TRUE
4920,38902024.12359995,5720457.354299986,33181566.769299872,1267637.4348000002,11394,1431,0.1470478074900392,0.0325853850373556,TRUE
2340,38894825.34119988,5187915.587699998,33706909.753499925,2004188.8054999998,11682,1372,0.13338318252337353,0.05152841767300688,TRUE
710,38556398.34550021,6704642.727799999,31851755.6177001,3039195.306000003,11651,1745,0.17389183158967117,0.07882466818518846,TRUE
2200,38214460.11949999,8513799.120099993,29700660.999399945,3940565.092799996,12183,2479,0.22278998822635704,0.10311712059983319,TRUE
2000,37724280.25560007,3136716.9542999994,34587563.301300004,815245.2827000002,11413,776,0.08314849038993559,0.02161062523065577,TRUE
230,37348764.907800026,3043721.2929999996,34305043.61480009,833085.9697000005,11436,834,0.08149456348861324,0.02230558284207188,TRUE
4600,36562993.792200066,8039540.287699989,28523453.5045,4358459.049400003,10852,2005,0.2198818929705656,0.1192041076879702,TRUE
3060,36415320.133500025,9573533.394899992,26841786.738600012,2463819.458100002,11076,2600,0.2628985097426862,0.06765887129558495,TRUE
7750,36288991.50049993,9679251.329099994,26609740.171400007,5389826.34520001,10176,2477,0.2667269309197157,0.1485251069908007,TRUE
6355,34544541.1875999,5765325.5683,28779215.61930006,3566248.7718000016,10501,1275,0.16689541589191872,0.10323624657316745,TRUE
2630,34490864.472200066,5539060.56590002,28951803.90629998,2413671.2638999987,9788,1361,0.16059500539235688,0.06998001647205562,TRUE
