STATEFIP,nat_epop_prime_pre,nat_unrate_prime_pre,for_epop_prime_pre,for_unrate_prime_pre,for_pop_pre,tot_pop_pre,construction_emp_share_pre,n_obs_pre,n_for_obs_pre,nat_epop_prime_post,nat_unrate_prime_post,for_epop_prime_post,for_unrate_prime_post,for_pop_post,tot_pop_post,construction_emp_share_post,n_obs_post,n_for_obs_post,state_name,d_nat_epop,d_nat_unrate,d_for_epop,d_for_unrate,d_log_for_pop,for_share_pre
18,0.8267870436598799,0.0335339068541734,0.7632486208206274,0.0678146164494984,5649595.311799999,64992365.89780005,0.07466472517613676,15599,1183,0.8199666330348881,0.03193008482264083,0.8156371514427838,0.025454327992934424,5754727.376699998,60665859.86369999,0.07754122218981743,12831,1027,Indiana,-0.006820410624991724,-0.001603822031532573,0.052388530622156426,-0.04236028845656398,0.01843775313362883,0.0869270603363469
19,0.8697675065628472,0.026445643357906872,0.7881169308179187,0.04923068869296376,2697667.671099998,30457747.944400016,0.07508319589734391,11689,1012,0.863978019948905,0.031122633150289816,0.8073799430257369,0.03186425170814121,2492922.5252,28313127.94690014,0.07478701835791321,10295,771,Iowa,-0.005789486613942185,0.0046769897923829434,0.01926301220781823,-0.01736643698482255,-0.07893184705639733,0.08857081869692185
20,0.8478386265522949,0.034066154802966896,0.8032095284196358,0.023953228727662233,3044661.3855999997,27380596.971799903,0.06572507798014597,12352,1301,0.8478869854768724,0.03342875995433421,0.8131549752762335,0.02166496704906807,2168863.955199999,25611252.976300254,0.07142967661761784,10769,836,Kansas,4.835892457744073e-5,-6.373948486326844e-4,0.009945446856597706,-0.0022882616785941633,-0.3391861840457935,0.11119777223030555
21,0.780707291095165,0.04007220762047298,0.7596859761303298,0.08849974802015312,3186414.995600001,42809579.90179996,0.06826474022728118,10644,747,0.7662786251773682,0.03900241167088142,0.8263651649058341,0.041914031418999874,2747813.360299998,40083460.874499984,0.07703374531754341,9821,572,Kentucky,-0.01442866591779679,-0.0010697959495915565,0.06667918877550427,-0.046585716601153244,-0.14809100532371744,0.07443228835483214
22,0.7539379024292453,0.04120263309385257,0.6980171080449346,0.04214098767079626,3042311.278000006,42511554.9470999,0.08009813725682473,21183,1408,0.7718128473318618,0.03751334652172277,0.7154932131579469,0.08075374075364061,2943235.0392999966,39600244.90569957,0.0928546138118652,16659,1017,Louisiana,0.01787494490261654,-0.003689286572129795,0.01747610511301234,0.038612753082844356,-0.03310818545198657,0.07156433778500378
23,0.8090580605860391,0.0249827979420981,0.6841404088569013,0.078758104775499,503448.3710999997,14050687.963399949,0.08028118925839191,8123,302,0.818671813410235,0.02682078422650527,0.644512622132207,0.08628728464760993,538952.8777,13057476.957899975,0.07246170581457005,8635,300,Maine,0.009613752824195854,0.0018379862844071712,-0.03962778672469436,0.007529179872110936,0.06814697478856324,0.0358308698059064
24,0.8535870787628027,0.030496143147398246,0.8275145872830976,0.03794819211068919,12588210.669299984,59025085.979800195,0.07766001851344148,11383,2352,0.8265149101284968,0.038793849642130576,0.8160983337689738,0.047017912121111956,12431992.655999942,55194207.94289996,0.06401858296416424,10166,2107,Maryland,-0.02707216863430595,0.00829770649473233,-0.011416253514123786,0.009069720010422763,-0.012487511895095338,0.21326882393035348
25,0.8371995297602145,0.03170809724187239,0.8154854256274392,0.03801830081747042,15297974.690999927,69547598.94720045,0.07190920917966816,21983,4685,0.8508072374830552,0.029960330397228577,0.8171627564667738,0.048285120868798506,14625413.487799997,65252288.944299646,0.05925880999720458,17752,3641,Massachusetts,0.0136077077228407,-0.001747766844643811,0.0016773308393346342,0.010266820051328084,-0.04495978111069476,0.21996409541922407
26,0.8168041815369911,0.038719715776995886,0.7720381603068129,0.035288164567393594,8822367.44880001,97351820.81450042,0.06080152926660973,21585,1925,0.8021349010687844,0.04389423775581426,0.7584283460949125,0.03272302359682528,8188721.035999997,90692406.76479986,0.055527929649467976,17554,1515,Michigan,-0.014669280468206702,0.005174521978818375,-0.01360981421190044,-0.0025651409705683137,-0.07453252822235079,0.09062354843481192
27,0.8757609957621358,0.02895743683253282,0.815770076780138,0.030782595246194363,5796492.011200008,54794918.921500176,0.06732032175529186,13200,1340,0.8577829025038545,0.03508534121190202,0.7747380458343318,0.04742274194009087,5249773.4741,51299094.8732003,0.060589571828021785,11249,987,Minnesota,-0.01797809325828137,0.006127904379369203,-0.04103203094580621,0.016640146693896508,-0.09906798103421721,0.1057852101123487
28,0.770402613324306,0.026393756596527672,0.7284642188262286,0.017854155588093685,801790.1156,27499192.94069996,0.08081314581317488,16784,443,0.7427139993940955,0.029308121018459057,0.7106921713381034,0.0219371768812027,909113.8404000001,25551129.920999873,0.07632217415722313,15825,512,Mississippi,-0.027688613930210493,0.002914364421931385,-0.01777204748812522,0.004083021293109015,0.12562345092979577,0.029156859887815724
29,0.8369028122060456,0.02749592642441589,0.8429113969191148,0.027969046321848275,3262297.788999999,59133063.87399964,0.07071174852006572,14130,747,0.8488186796760772,0.024523941655937836,0.8082603492507855,0.03929050100722518,3208222.1132999994,54994360.842799306,0.07346998529592029,12283,635,Missouri,0.011915867470031594,-0.002971984768478056,-0.03465104766832927,0.011321454685376903,-0.016714865424363623,0.05516875966297438
30,0.8404079058428873,0.024254948961607795,0.8312813148811583,0.017169551118442625,308647.3422000001,11065576.98280006,0.09097130836497799,18247,494,0.8503009987608631,0.027148785624590603,0.8373795296927586,0.02926765411664501,218008.0787000001,10247439.979899967,0.10456553391641775,14806,302,Montana,0.009893092917975799,0.002893836662982808,0.006098214811600333,0.012098102998202385,-0.3476672173953883,0.027892566531302482
31,0.8804250569923144,0.022383998814283355,0.7336487879260654,0.044256076436852414,2170621.853800003,18482320.987200025,0.07110567310686901,12167,1307,0.8771123200369431,0.023318186069888138,0.782243911871782,0.02090407719974267,1959443.0213999993,17337587.965299957,0.07440984495446896,10845,1068,Nebraska,-0.003312736955371376,9.341872556047834e-4,0.048595123945716634,-0.023351999237109743,-0.10235343496827198,0.11744314230357066
32,0.79588453344224,0.052667166541977964,0.7810459973454318,0.04577799226387209,7260362.85909999,30990118.04339993,0.07577360665640062,13720,3166,0.812162596058291,0.041663474119163685,0.7903367967658022,0.025153491485858086,6551014.595900001,29424560.077499937,0.08484388127871721,12284,2639,Nevada,0.016278062616051026,-0.011003692422814279,0.009290799420370366,-0.020624500778014,-0.10280987039122458,0.23427993558889504
