state_name,industry_name,emp_start,emp_end,growth
New Mexico,Government,193,194,0.005181347150259086
New York,Mining and Logging,5.5,5.5,0
New York,Construction,389.8,381.3,-0.021806054386865004
New York,Manufacturing,409.6,397.1,-0.030517578125
New York,Professional and Business Services,1411.9,1404.5,-0.005241164388412822
New York,Leisure and Hospitality,940.1,917.4,-0.02414636740772258
New York,Government,1506.6,1532.2,0.01699190229656189
North Carolina,Mining and Logging,6.1,6.1,0
North Carolina,Construction,274.7,295.2,0.07462686567164178
North Carolina,Manufacturing,463.4,449.8,-0.02934829520932236
North Carolina,Professional and Business Services,740.3,763,0.030663244630555253
North Carolina,Leisure and Hospitality,537.6,554.9,0.032180059523809534
North Carolina,Government,771.7,779.5,0.010107554749254843
North Dakota,Mining and Logging,18,17,-0.05555555555555558
North Dakota,Construction,30,31.2,0.040000000000000036
North Dakota,Manufacturing,28.1,27.7,-0.014234875444839923
North Dakota,Professional and Business Services,34.6,33.9,-0.020231213872832443
North Dakota,Leisure and Hospitality,41.2,41.9,0.016990291262135804
North Dakota,Government,86.2,86.3,0.001160092807424462
Ohio,Mining and Logging,8.8,9.2,0.04545454545454519
Ohio,Construction,253.6,273.6,0.07886435331230301
Ohio,Manufacturing,675.1,689,0.02058954229003107
Ohio,Professional and Business Services,731.4,727.7,-0.005058791359037418
Ohio,Leisure and Hospitality,568.6,570.1,0.0026380583890257547
Ohio,Government,794.7,786.5,-0.01031835912923118
Oklahoma,Mining and Logging,28.8,28.3,-0.01736111111111116
Oklahoma,Construction,87.6,94,0.0730593607305936
Oklahoma,Manufacturing,141.4,139.6,-0.012729844413012836
Oklahoma,Professional and Business Services,206.3,202.9,-0.016480853126514816
Oklahoma,Leisure and Hospitality,185.6,181.6,-0.02155172413793105
Oklahoma,Government,371.7,371.9,5.380683346785098e-4
Oregon,Mining and Logging,6,5.9,-0.016666666666666607
Oregon,Construction,115.5,113,-0.02164502164502169
Oregon,Manufacturing,182,173.2,-0.0483516483516484
Oregon,Professional and Business Services,258.7,248.1,-0.04097410127560874
Oregon,Leisure and Hospitality,208,203.7,-0.02067307692307696
Oregon,Government,317.1,311.7,-0.017029328287606504
Pennsylvania,Mining and Logging,20.7,21.9,0.05797101449275366
Pennsylvania,Construction,260.6,261.5,0.003453568687643793
Pennsylvania,Manufacturing,560.3,557.5,-0.004997322862752007
