state_name,industry_name,wage_start,wage_end,wage_growth_yoy,window_start,window_end
Ohio,Construction,39.06,41.75,0.06886840757808499,2025-08-01,2026-08-01
Ohio,Leisure and Hospitality,19.97,20.23,0.013019529293941012,2025-08-01,2026-08-01
Oklahoma,Total Private,31.12,32.3,0.03791773778920304,2025-08-01,2026-08-01
Oklahoma,Construction,30.37,33.49,0.10273296015805067,2025-08-01,2026-08-01
Oklahoma,Leisure and Hospitality,16.2,16.26,0.0037037037037037646,2025-08-01,2026-08-01
Oregon,Total Private,37.2,38.68,0.03978494623655915,2025-08-01,2026-08-01
Oregon,Construction,46.08,49.05,0.064453125,2025-08-01,2026-08-01
Oregon,Leisure and Hospitality,24.37,25.75,0.05662700041034063,2025-08-01,2026-08-01
Pennsylvania,Total Private,32.57,33.88,0.040221062327295165,2025-08-01,2026-08-01
Pennsylvania,Construction,40.29,43.6,0.08215438073963766,2025-08-01,2026-08-01
Pennsylvania,Leisure and Hospitality,20.82,21.21,0.018731988472622474,2025-08-01,2026-08-01
Rhode Island,Total Private,36.43,37.97,0.04227285204501774,2025-08-01,2026-08-01
Rhode Island,Construction,45.21,46.53,0.029197080291970767,2025-08-01,2026-08-01
Rhode Island,Leisure and Hospitality,23.46,23.76,0.01278772378516635,2025-08-01,2026-08-01
South Carolina,Total Private,32.35,33.13,0.024111282843894966,2025-08-01,2026-08-01
South Carolina,Construction,33.48,33.65,0.005077658303464849,2025-08-01,2026-08-01
South Carolina,Leisure and Hospitality,19.56,20.23,0.03425357873210633,2025-08-01,2026-08-01
South Dakota,Total Private,30.88,32.13,0.04047927461139911,2025-08-01,2026-08-01
South Dakota,Leisure and Hospitality,19.97,19.98,5.007511266901243e-4,2025-08-01,2026-08-01
Tennessee,Total Private,31.04,32.07,0.03318298969072164,2025-08-01,2026-08-01
Tennessee,Leisure and Hospitality,18.62,19.41,0.0424274973147154,2025-08-01,2026-08-01
Texas,Total Private,34.34,36.37,0.05911473500291198,2025-08-01,2026-08-01
Texas,Construction,36.15,37.66,0.04177040110650054,2025-08-01,2026-08-01
Texas,Leisure and Hospitality,18.66,18.93,0.014469453376205754,2025-08-01,2026-08-01
Utah,Total Private,35.05,35.89,0.023965763195435086,2025-08-01,2026-08-01
Utah,Construction,36.22,36.54,0.008834897846493606,2025-08-01,2026-08-01
Utah,Leisure and Hospitality,20.82,21.43,0.029298751200768525,2025-08-01,2026-08-01
Vermont,Total Private,34.98,35.77,0.02258433390508885,2025-08-01,2026-08-01
Vermont,Construction,35.15,36.25,0.031294452347083945,2025-08-01,2026-08-01
Vermont,Leisure and Hospitality,25.07,25.95,0.03510171519744709,2025-08-01,2026-08-01
Virginia,Total Private,36.51,38.94,0.06655710764174194,2025-08-01,2026-08-01
Virginia,Construction,36.32,38.06,0.0479074889867841,2025-08-01,2026-08-01
Virginia,Leisure and Hospitality,20.37,21.18,0.03976435935198808,2025-08-01,2026-08-01
Washington,Total Private,42.47,43.93,0.0343772074405464,2025-08-01,2026-08-01
Washington,Construction,49.83,51.8,0.039534417017860646,2025-08-01,2026-08-01
Washington,Leisure and Hospitality,27.46,28.25,0.028769118718135367,2025-08-01,2026-08-01
West Virginia,Total Private,29.89,30.33,0.014720642355302793,2025-08-01,2026-08-01
West Virginia,Construction,34.65,31.48,-0.0914862914862914,2025-08-01,2026-08-01
West Virginia,Leisure and Hospitality,16.03,16.3,0.016843418590143378,2025-08-01,2026-08-01
Wisconsin,Total Private,34.08,34.21,0.003814553990610481,2025-08-01,2026-08-01
Wisconsin,Construction,40.91,43.94,0.07406502077731614,2025-08-01,2026-08-01
Wisconsin,Leisure and Hospitality,21.51,21.6,0.004184100418409997,2025-08-01,2026-08-01
Wyoming,Total Private,31.76,33.41,0.05195214105793444,2025-08-01,2026-08-01
Wyoming,Construction,35.87,36.45,0.016169500975745876,2025-08-01,2026-08-01
Wyoming,Leisure and Hospitality,21.65,21.8,0.006928406466512715,2025-08-01,2026-08-01
Puerto Rico,Total Private,17.68,18.84,0.06561085972850678,2025-08-01,2026-08-01
