yr,agegrp,sexlab,epop,lfpr,unrate,n,months
2018,20-24,Men,0.6764650429847427,0.7369877333461919,0.08207341878582074,37976,12
2019,20-24,Men,0.6826897412021585,0.7446825614736796,0.08321709042393079,36554,12
2020,20-24,Men,0.6072149146765135,0.7066444915392008,0.14186678934673277,31986,12
2021,20-24,Men,0.653768193634,0.7273909864677979,0.10153425812597526,32417,12
2022,20-24,Men,0.6778410413036546,0.7351757138561706,0.07811020719974389,30372,12
2023,20-24,Men,0.6756788488828037,0.731158692561683,0.0758417440364592,30001,12
2024,20-24,Men,0.6794750011058873,0.7382786098614426,0.07964989845641042,29743,12
2025,20-24,Men,0.665978840309463,0.7366512258899193,0.09594596863120501,26402,11
2026,20-24,Men,0.6783399309480102,0.7356349425270969,0.07796388788517193,17699,8
2015,20-24,Women,0.6385425240668149,0.6980804498359926,0.08515569600973227,42643,12
2016,20-24,Women,0.6474037959827909,0.6995288660043707,0.07445963053267367,41705,12
2017,20-24,Women,0.6557978591643318,0.7006156676051001,0.06390333991526893,40146,12
2018,20-24,Women,0.66114441739162,0.7062051805180151,0.06366993808517325,37562,12
2019,20-24,Women,0.6742950505454579,0.7153266581154026,0.05733993332961049,34912,12
2020,20-24,Women,0.5928461571190846,0.6864481240329167,0.13806659663528306,30319,12
2021,20-24,Women,0.6353363293180859,0.6918091546544748,0.08173011967370851,31024,12
2022,20-24,Women,0.6508959030845197,0.6962317373772837,0.06502631256561194,29290,12
2023,20-24,Women,0.6702418635640877,0.7129680227235301,0.05987460035706088,28766,12
2024,20-24,Women,0.670782738595371,0.7160343273762502,0.06317955185617437,28376,12
2025,20-24,Women,0.6531353836151294,0.7049068145743415,0.07346820822129169,24593,11
2026,20-24,Women,0.6481665571894197,0.6969774608467869,0.06991348165383664,16751,8
2015,25-34,Men,0.8312053317232494,0.8837396633082627,0.05943058780288515,82884,12
2016,25-34,Men,0.8360669757387554,0.884630629494669,0.05488701995642137,82873,12
2017,25-34,Men,0.8413918474784463,0.8850996565252158,0.04937390343192904,80557,12
2018,25-34,Men,0.8521207140018613,0.8895246675706238,0.04203931807458397,78053,12
2019,25-34,Men,0.8542932525692777,0.8901835373246122,0.04030688830041988,75245,12
2020,25-34,Men,0.7921282688807806,0.8675466168951514,0.0874374571526465,66571,12
2021,25-34,Men,0.8169734044054575,0.8720103689684375,0.06314699675465048,67803,12
2022,25-34,Men,0.8476249359869023,0.8844663322595143,0.04167773222987955,64154,12
2023,25-34,Men,0.852972619467578,0.8909626801444719,0.04263282610333296,62002,12
2024,25-34,Men,0.8486724488435434,0.8877438462495401,0.044007082257208834,61151,12
2025,25-34,Men,0.8518493415804742,0.891289857080269,0.04426485447583457,53369,11
2026,25-34,Men,0.8418497592294601,0.8884814801195742,0.05249202322884317,37397,8
2015,25-34,Women,0.7274628288492968,0.7691447132197465,0.054189928636694806,88305,12
2016,25-34,Women,0.7383493868816816,0.7785135795186658,0.051594208680180824,87859,12
2017,25-34,Women,0.7510948610156042,0.7867296263709721,0.045305276920564706,85659,12
2018,25-34,Women,0.7597335174628713,0.7904970738345208,0.03893822778368607,82452,12
2019,25-34,Women,0.7654682567458534,0.7952337000444016,0.037449889162840644,79058,12
2020,25-34,Women,0.721110577364974,0.7827877353150674,0.07940646465025278,68878,12
2021,25-34,Women,0.7433537072172323,0.7857521480033914,0.054013133719223415,70107,12
2022,25-34,Women,0.7676253215901544,0.7994372171952175,0.039778016528318784,65186,12
2023,25-34,Women,0.7768595283305633,0.8059107972365848,0.03605883376789469,62568,12
2024,25-34,Women,0.7732986638554631,0.8051614009025294,0.03957303036272746,61573,12
2025,25-34,Women,0.7700084214456383,0.8023505686400562,0.040295304950726,53371,11
2026,25-34,Women,0.7619578358149856,0.7969369928624332,0.04388664177077676,36955,8
2015,35-54,Men,0.8353891543724155,0.869248904057064,0.03896281882209467,163671,12
2016,35-54,Men,0.8413515044661232,0.8736793368544045,0.03700635096330358,160694,12
2017,35-54,Men,0.8451584828972925,0.873404380184528,0.03235677913297701,156517,12
2018,35-54,Men,0.8533805279278005,0.8796253240622591,0.029828835720478133,149289,12
2019,35-54,Men,0.8562742900712692,0.8807799633992844,0.02781436818262681,142231,12
2020,35-54,Men,0.8216992728853646,0.8724285533238704,0.05824529581845919,126810,12
2021,35-54,Men,0.8305942119547461,0.86876950514640106,0.043955293948727665,127454,12
2022,35-54,Men,0.8503416200635425,0.8734980426949525,0.02651383306429145,120029,12
2023,35-54,Men,0.856870599342869,0.8810718822090157,0.027468643595248338,116744,12
2024,35-54,Men,0.8562070391336388,0.8830308203739032,0.030375610576260953,115197,12
2025,35-54,Men,0.8568779679184463,0.8847777393403817,0.031540840370031714,101213,11
2026,35-54,Men,0.8547899639567738,0.8846813535466003,0.0337845103195992,71640,8
2015,35-54,Women,0.731028209196453,0.760760961277089,0.03909417564265081,174607,12
2016,35-54,Women,0.7364882978330987,0.7645021982392913,0.03665136987709231,171124,12
2017,35-54,Women,0.7433884744650067,0.7690925034480237,0.03343881689196459,166343,12
