OCC2010,nat_emp_0,nat_lf_0,nat_unemp_0,nat_emp_nc_0,nat_lf_nc_0,nat_unemp_nc_0,for_emp_0,nat_hrs_0,n_nat_0,nat_emp_1,nat_lf_1,nat_unemp_1,nat_emp_nc_1,nat_lf_nc_1,nat_unemp_nc_1,for_emp_1,nat_hrs_1,n_nat_1,foreign_share,emp_tot,d_log_nat_emp,d_log_nat_emp_nc,d_log_for_emp,d_nat_unrate,d_nat_unrate_nc,d_nat_hrs
650,1590524.3513,1630950.8731999996,40426.52189999999,718722.8491999998,742169.4389999998,23446.5898,217732.6279,40.773750817134456,500,1969734.2133000009,2043231.8507000005,73497.63739999999,834947.3873999997,864959.8065999998,30012.419200000004,198580.77419999996,40.3757310245251,581,0.09544861998022204,5409857.441700003,0.21383487398290235,0.14989289739192202,-0.09207189224857437,0.011184179051501267,0.003106087210888328,-0.39801979260935383
700,1994679.7341000002,2053543.6101000006,58863.876,1345183.4603000009,1370151.6401,24968.179799999998,275596.6996,42.18941989296068,527,1921710.0739000011,1967653.2439000006,45943.17,1035685.2346000004,1054098.3879000004,18413.1533,380561.61649999995,41.518333122595344,473,0.1268424042361785,6722378.445400006,-0.0372680500451974,-0.2614671353958169,0.3227095360613852,-0.005315315839160294,-7.547774198524392e-4,-0.6710867703653349
710,11060312.627499979,11400560.498499969,340247.87100000016,2252041.719200002,2311630.343800002,59588.624599999996,2032717.1894000005,39.086023923623934,3547,10278889.28110001,10511634.362900011,232745.0818,2084775.3498000004,2156975.5192000004,72200.1694,2273366.079299999,39.11417522982003,2908,0.17389183158967117,38556398.34550021,-0.07327105459163619,-0.07717613195901762,0.11188817248340754,-0.007703172569352091,0.007695125770489725,0.02815130619609363
725,1593206.7503999993,1658234.8101999995,65028.0598,660986.4336,691510.0825999998,30523.648999999998,244729.64570000002,38.20391089981855,501,2093669.4464000002,2142783.1748,49113.72839999999,670921.8706999999,695606.8450999998,24684.974400000003,305422.06369999994,38.51872106980813,555,0.1082786919048326,5672840.037999993,0.2731694331662702,0.01491937749695893,0.22154052111112854,-0.01629469909471695,-0.008653606664573044,0.31481016998957756
726,959937.7661000004,1003286.3843000002,43348.61819999999,93186.01780000002,93654.36670000003,468.3489,16344.1701,40.22475160071242,333,907766.2592000003,961342.9032000003,53576.644,131018.2297,147606.42569999996,16588.196,60923.3287,39.04213169274941,309,0.04813655973122226,3059244.3399,-0.055881533707799136,0.34073878470311136,1.3157449020962204,0.012524419750087432,0.10738043641156683,-1.1826199079630157
735,6170057.796899998,6413029.373000002,242971.57610000006,1211138.7404999996,1298399.8827999998,87261.1423,908737.4203000002,39.343516234412974,1744,4785380.976499997,5010938.548899999,225557.5724,1164966.6676999994,1212500.904499999,47534.2368,710170.0818999998,39.15546599207757,1239,0.11984931537867308,19220068.527900033,-0.2541425646314597,-0.03886854970350129,-0.24655169257164467,0.0071258624604516735,-0.02800321256213452,-0.18805024233540024
740,7098199.8865,7334472.0424000025,236272.1558999999,3165937.5013999976,3310156.4040999985,144218.90269999998,1146693.4512999996,39.94804819628788,2272,6351523.227199993,6636470.181499994,284946.95429999987,2702950.1105,2824415.426799998,121465.31629999998,1238215.6092000003,39.73169560924111,1825,0.1306835945001434,19950181.35040005,-0.11114655235101445,-0.15810541066881,0.07678877725136424,0.010722594737531815,-5.631355626394344e-4,-0.21635258704677085
800,17001442.546200003,17320974.644800033,319532.0985999999,1801157.1116,1866351.6262999994,65194.51470000001,3798624.5394999995,40.72807081613063,5169,15004966.393500006,15294386.458100008,289420.06460000004,1682911.2755999994,1701682.2250999995,18770.9495,3961292.186600004,40.436682459412154,4110,0.17283309149121326,60815618.73429986,-0.12491695691194948,-0.06790410233145394,0.041931243868075896,4.7558962924752063e-4,-0.023900708809013824,-0.2913883567184783
810,989179.7648,996992.1683,7812.4035,497960.1928999999,505772.5963999999,7812.4035,78401.6227,39.563140953446485,342,811658.1256999997,837287.5047999996,25629.3791,412355.22880000004,436610.9698000001,24255.740999999998,40544.5278,40.73756019562984,273,0.06571701369759868,3334315.9551999965,-0.19779685527019453,-0.18863495620517945,-0.6594438028364511,0.02277403745772335,0.040108109990655665,1.1744192421833546
820,460971.56219999987,471894.7279999999,10923.1658,97099.4983,107628.00320000002,10528.5049,122394.71199999997,42.122100463582335,142,483635.78879999986,483635.78879999986,0,85179.41020000003,85179.41020000003,0,50093.885299999994,41.50405518183906,144,0.13539169704190482,1648776.0703000005,0.04799576707300446,-0.13097646813512576,-0.8933522157886635,-0.02314746309265825,-0.09782309981571782,-0.618045281743278
830,395797.6352,403561.14540000015,7763.510200000001,98917.6332,106681.14340000002,7763.510200000001,57374.931,40.557580968541956,126,299153.62539999996,322281.49049999996,23127.8651,54734.026,54734.026,0,39107.603800000004,41.60082002302217,83,0.08645901304823449,1613736.7821000025,-0.279945819649452,-0.5918019523932418,-0.38329054709300614,0.0525254266749765,-0.07277303141465954,1.0432390544802175
840,3971309.390799995,4019654.471399995,48345.08060000001,546680.2384000003,553734.2092000003,7053.9708,917519.9621000001,42.61768523930118,1061,3498602.8867999953,3590394.3392999955,91791.45249999998,475660.3572000001,482448.86720000004,6788.51,1102677.7050000003,41.834665383480306,863,0.1678838420769285,14255175.921000011,-0.12673214807645294,-0.13915999393359435,0.18382244125651326,0.013538668254862045,0.0013320309568932136,-0.783019855820875
850,5790888.368799994,5842530.224499993,51641.8557,996640.0226999999,1012025.5623000001,15385.5396,847419.5288999996,41.81510064809138,1664,5545849.147599989,5706958.796899991,161109.64930000002,1033727.378,1077668.1764,43940.79840000001,813160.9300000003,41.53506337426379,1541,0.1299102905157907,18967524.548800033,-0.043235964779878344,0.03653671838199202,-0.04126684775744671,0.019391431959836603,0.025571240970732143,-0.28003727382758825
860,1203788.2851000004,1214523.9139000005,10735.6288,348392.556,348392.556,0,106951.0765,41.774338137712796,323,1248584.8275999995,1265104.6210999996,16519.7935,327682.764,327682.764,0,251384.87300000002,40.97387018178863,314,0.08150000435454703,4064383.758299998,0.03653728355771513,-0.061283921070284464,0.85461362237473,0.004218673237719109,0,-0.8004679559241694
910,3603805.311999996,3705389.1283999966,101583.81640000001,1638036.5977000021,1666855.3683000028,28818.770600000003,349330.96559999994,40.51487928682266,1131,3241915.4391000005,3299565.0593000003,57649.6202,1511996.4787999997,1545665.8745000002,33669.3957,501372.8800000002,42.38466225752652,939,0.09451612172577152,12582363.918300008,-0.10582597827846563,-0.0800673791808233,0.3613302973819881,-0.00994327008280669,0.004493796050796094,1.8697829707038593
930,634902.2494,634902.2494,0,320738.5587,320738.5587,0,102974.72420000001,40.595316379798454,184,466407.72090000036,503469.5861000003,37061.8652,302302.9772,325967.3584000001,23664.3812,43060.2305,40.75923169830545,134,0.09721682874362636,2252076.240599999,-0.30841085994572737,-0.059196582167892586,-0.871883717080868,0.07361291768801836,0.07259739538386857,0.16391531850699437
940,981661.1173000004,1125503.7859000002,143842.66860000003,356048.3482999999,443417.79099999997,87369.44270000003,246577.25290000008,37.84041450656415,351,1206931.2393999996,1295807.4822999996,88876.24290000001,514248.3574,587510.5613000003,73262.20390000001,389071.3765999999,37.04625152552043,347,0.22744745578126777,3952185.730599996,0.20659009689269325,0.367639802899534,0.4560874706181721,-0.059215382050358534,-0.07233701230538103,-0.7941629810437192
950,1301949.8958,1348805.7601000003,46855.86429999999,497107.72959999996,529561.921,32454.191399999996,251877.45669999995,43.01344143132961,403,1034077.4933999997,1053165.9922999998,19088.4989,398091.30600000004,401403.54600000003,3312.24,111962.17380000003,40.280830739568316,278,0.14798327329456337,4248613.707499994,-0.23035334201832391,-0.22212537133236232,-0.8107816059794484,-0.016613906232309822,-0.05303333327530935,-2.7326106917612947
