STATEFIP,nat_epop_0,nat_lfpr_0,nat_unrate_0,for_epop_0,for_pop_0,nat_n_0,per_0,nat_epop_1,nat_lfpr_1,nat_unrate_1,for_epop_1,for_pop_1,nat_n_1,per_1,foreign_share,emp_tot,d_epop,d_lfpr,d_unrate,d_log_for_pop
24,0.8447484449206346,0.8693851223206268,0.02833804808418021,0.8153555594459574,7396355.573999999,3923,pre,0.8265149101284968,0.8598726816518747,0.038793849642130576,0.8160983337689738,7495496.422900014,3458,post,0.21675807331257027,111806178.19320022,-0.01823353479213785,-0.00951244066875212,0.010455801557950367,0.01331497434002138
25,0.8439122100335594,0.872166271443989,0.03239526949792826,0.8078705397560433,9045222.003399996,7294,pre,0.8508072374830552,0.8770849936801628,0.029960330397228577,0.8171627564667738,8601022.175300017,5953,post,0.23566051669588509,131308977.13269906,0.006895027449495772,0.004918722236173845,-0.0024349391006996818,-0.0503556090793964
26,0.8222609974640064,0.8501083378121838,0.03275740174463482,0.7617203624018718,5115194.039599993,8618,pre,0.8021349010687844,0.8389604296348987,0.04389423775581426,0.7584283460949125,4661235.283600005,6268,post,0.0923547307962412,172348199.0199012,-0.020126096395222004,-0.01114790817728506,0.011136836011179443,-0.0929348387626856
27,0.872919878292597,0.8978362276792934,0.02775155269809197,0.8292807716217742,3816207.459400007,5231,pre,0.8577829025038545,0.8889728171206389,0.03508534121190202,0.7747380458343318,3142523.551399997,4152,post,0.10894393620868896,108758453.60960062,-0.015136975788742513,-0.008863410558654472,0.007333788513810054,-0.19423096184604383
28,0.7597628767774359,0.7766148409936293,0.021699255958889965,0.7527846730572767,497331.7052000003,6676,pre,0.7427139993940955,0.765138779334754,0.029308121018459057,0.7106921713381034,541788.6589,6136,post,0.03576478831209808,43851728.133100025,-0.017048877383340377,-0.01147606165887527,0.007608865059569092,0.0856187788053866
29,0.8333679378376999,0.8599656843535499,0.030928846347913427,0.8170794808165995,2099657.114,6001,pre,0.8488186796760772,0.8701583933459176,0.024523941655937836,0.8082603492507855,2144926.257000002,5112,post,0.05927618990505218,108002365.8328005,0.015450741838377247,0.010192708992367683,-0.006404904691975591,0.021331120417746874
30,0.8377524814305058,0.8609072400535115,0.02689576477666279,0.8356592086353666,174169.0822,7226,pre,0.8503009987608631,0.8740298477262771,0.027148785624590603,0.8373795296927586,118776.43609999999,6000,post,0.02763475690516371,20425962.07150014,0.012548517330357223,0.01312260767276563,2.530208479278144e-4,-0.3827835262374748
31,0.8724819904664148,0.8927327273464765,0.022683986214164262,0.7452910272045246,1389768.0310000002,4758,pre,0.8771123200369431,0.8980532938434603,0.023318186069888138,0.782243911871782,1355436.5401999988,4203,post,0.10697336248935578,37055414.76359993,0.004630329570528224,0.0053205664969838695,6.341998557238757e-4,-0.02501327670784015
32,0.794992875020494,0.837899810640643,0.05120771609596584,0.7658597086614453,4216746.7591999965,4689,pre,0.812162596058291,0.8474711900517498,0.041663474119163685,0.7903367967658022,3498905.5140999956,4466,post,0.23835947372074068,54691332.823100016,0.017169721037797014,0.00957137941110675,-0.009544241976802155,-0.18661371126753323
33,0.8514042867252319,0.870953968844578,0.022446286277657605,0.8292634599879826,577187.4209999997,4437,pre,0.8557908224183834,0.8772525697842141,0.02446473011884086,0.8273808873196319,566041.0905999994,4128,post,0.07637103516943687,26627536.51680005,0.004386535693151505,0.006298600939636079,0.0020184438411832567,-0.019500359721673632
34,0.8368925483100057,0.8693011931225448,0.037281261165794374,0.798182010872099,16803345.999799985,5139,pre,0.813296223849453,0.8476063010029421,0.0404787896372305,0.8254010657711162,14981120.249400023,4841,post,0.3288180401941547,165134403.625599,-0.02359632446055271,-0.021694892119602738,0.0031975284714361243,-0.11478727493595642
35,0.7656160679787212,0.7941332834249154,0.03590986052518262,0.7627160581918846,1238098.4038,5820,pre,0.7728450107463329,0.8043734833538304,0.039196310246379644,0.7379520411697775,1329176.9150000012,6458,post,0.12250418639924104,32845927.98720009,0.007228942767611768,0.010240199928915006,0.0032864497211970226,0.07098323254778194
36,0.8087790924326966,0.8403662978755275,0.03758742529618902,0.7730863025738098,26648209.831700023,11610,pre,0.8065117387100759,0.8425236289056999,0.04274288454366145,0.7812905786108607,25937606.879800025,9727,post,0.2785371747727329,333421578.4577979,-0.0022673537226207685,0.002157331030172349,0.0051554592474724326,-0.027028056411651846
37,0.8007921874853547,0.827204841496411,0.03193000413691439,0.7885047616496395,9122228.805,8594,pre,0.801848673375608,0.8297875893554199,0.03366996125058395,0.7830570028530682,7297749.647700009,6776,post,0.1430338223233529,181612470.97259977,0.0010564858902532004,0.002582747859008805,0.0017399571136695602,-0.22314812755006308
38,0.8677546333972187,0.887372400865081,0.022107705230337896,0.8040090517534069,311065.47799999965,6135,pre,0.8716266757718326,0.8921597406443077,0.023015009461923835,0.810377910792134,356237.0532999998,4963,post,0.06237661755055003,14721845.230800008,0.0038720423746139154,0.00478733977922674,9.073042315859391e-4,0.13559295909676905
