educ3,year,month,unrate,unrate_3m,months_in_window,n_lf
Less than high school,2025,12,0.08140093641301342,0.08900446713908965,2,744
Less than high school,2026,1,0.09145956006751159,0.0897911282674937,3,693
Less than high school,2026,2,0.10492417955047255,0.09220668974359723,3,642
Less than high school,2026,3,0.11319440865408538,0.10279307918312142,3,606
Less than high school,2026,4,0.10816869510357145,0.10871761020690289,3,663
Less than high school,2026,5,0.07917282195423589,0.09985094028917241,3,720
Less than high school,2026,6,0.08727426340536636,0.09139523547517121,3,676
Less than high school,2026,7,0.10292396374048363,0.08959319180685471,3,625
Less than high school,2026,8,0.06464886982413136,0.08537683021222955,3,627
Some college or associate,2023,1,0.03314552584080158,0.03314552584080158,1,6819
Some college or associate,2023,2,0.035062312092654466,0.03410075465895527,2,6608
Some college or associate,2023,3,0.032686474517816935,0.03362854027583272,3,6589
Some college or associate,2023,4,0.028517261872252713,0.032097504910166524,3,6752
Some college or associate,2023,5,0.03338461794597429,0.0315210082630741,3,6695
Some college or associate,2023,6,0.03343965922531243,0.031763980420875,3,6697
Some college or associate,2023,7,0.03997256974237881,0.03562075366466254,3,6752
Some college or associate,2023,8,0.03427166062303409,0.03590434417262629,3,6815
Some college or associate,2023,9,0.031203212102021163,0.03513740519697769,3,6716
Some college or associate,2023,10,0.03167227285390932,0.03237056653116793,3,7012
Some college or associate,2023,11,0.028111298385073147,0.03033182124081525,3,6828
Some college or associate,2023,12,0.03174990612875226,0.030506237665489582,3,6725
Some college or associate,2024,1,0.0379868533260535,0.032606581175201654,3,6728
Some college or associate,2024,2,0.03791360700210099,0.0358974298417666,3,6680
Some college or associate,2024,3,0.04132463387278029,0.03907248708213169,3,6352
Some college or associate,2024,4,0.03220905879535902,0.03713792354873345,3,6659
Some college or associate,2024,5,0.03161734711259522,0.0350629128734438,3,6508
Some college or associate,2024,6,0.038918436434112975,0.034219122403552786,3,6447
Some college or associate,2024,7,0.03869963287073725,0.03641591573633089,3,6611
Some college or associate,2024,8,0.041203413962814406,0.03959895338028682,3,6549
Some college or associate,2024,9,0.03468050246992891,0.038160689724078434,3,6653
Some college or associate,2024,10,0.036086955462810155,0.037286415387567044,3,6592
Some college or associate,2024,11,0.034874881989327026,0.03521285030530644,3,6567
Some college or associate,2024,12,0.03451418369581084,0.03515987095054747,3,6629
Some college or associate,2025,1,0.04281770889682253,0.0374245475801484,3,6498
Some college or associate,2025,2,0.04154968625867096,0.03965521049900005,3,6493
Some college or associate,2025,3,0.03990347131315815,0.041424395404870355,3,6163
Some college or associate,2025,4,0.035912259549994774,0.039114733861834804,3,6380
Some college or associate,2025,5,0.03304624001072919,0.036288416567230586,3,6187
Some college or associate,2025,6,0.03482876747433902,0.03460674037921116,3,6203
Some college or associate,2025,7,0.03486304182408833,0.034253177090199774,3,6268
Some college or associate,2025,8,0.03630963891174643,0.03532991394465652,3,6445
Some college or associate,2025,9,0.035466382554246674,0.03554185284705498,3,6540
Some college or associate,2025,11,0.03152187345724739,0.033502164396542834,2,5992
Some college or associate,2025,12,0.0390259255808174,0.0352601783324035,2,5931
Some college or associate,2026,1,0.04269873475300266,0.03770172420163667,3,5876
Some college or associate,2026,2,0.03817904927691463,0.039952499008905226,3,6068
Some college or associate,2026,3,0.039066579527167404,0.03997073700119883,3,5802
Some college or associate,2026,4,0.03244590966956824,0.03657874221189352,3,6069
Some college or associate,2026,5,0.03513288177867137,0.035556692487641046,3,6058
Some college or associate,2026,6,0.03974566095914841,0.03576491362520045,3,5945
Some college or associate,2026,7,0.03995586064660515,0.03828640169847419,3,5965
Some college or associate,2026,8,0.041936968859665275,0.04054911213196915,3,5983
