yr,citgrp,male,epop,lfpr,unrate,n,months,sexlab
2017,Noncitizen,0,0.5439261133649235,0.5749402069875805,0.05395672785233005,29070,12,Women
2018,Noncitizen,0,0.5688990739857306,0.5968092478094572,0.04684077938232025,27860,12,Women
2019,Noncitizen,0,0.579156385171469,0.6043620145566132,0.04166026133809262,26120,12,Women
2020,Noncitizen,0,0.5145918868667243,0.5874938871458038,0.1251071940628818,21399,12,Women
2021,Noncitizen,0,0.547958973144853,0.587403730516387,0.06711974363469767,22511,12,Women
2022,Noncitizen,0,0.584302961712833,0.6115561490368692,0.04461176271947027,22599,12,Women
2023,Noncitizen,0,0.6021964459137089,0.63385419762526,0.04987209826420877,22408,12,Women
2024,Noncitizen,0,0.5961451364579956,0.6382198826206206,0.0658344197370583,23524,12,Women
2025,Noncitizen,0,0.6014411729746061,0.6382333259697804,0.0575296438138833,19347,11,Women
2026,Noncitizen,0,0.6148410054839508,0.6492748958050043,0.05289845150235267,13011,8,Women
2015,Noncitizen,1,0.8781713404717388,0.9151915659286868,0.04047224492307857,29635,12,Men
2016,Noncitizen,1,0.8815162119367456,0.9137282995502423,0.03525953633525487,29385,12,Men
2017,Noncitizen,1,0.8884650258798468,0.9171112162423646,0.03120281887137762,28465,12,Men
2018,Noncitizen,1,0.8936912535279017,0.9174971459730275,0.025961835724978382,27151,12,Men
2019,Noncitizen,1,0.8948013527507218,0.9176291324674345,0.02486263763307196,25047,12,Men
2020,Noncitizen,1,0.8463742303810732,0.9107759937858607,0.07102350152614927,20793,12,Men
2021,Noncitizen,1,0.8771746436755387,0.9192717984978667,0.0458696848935097,22207,12,Men
2022,Noncitizen,1,0.8934238091832526,0.9190766953438181,0.027919980284042006,23155,12,Men
2023,Noncitizen,1,0.8814792117558271,0.9146250417847998,0.036271117418282435,23049,12,Men
2024,Noncitizen,1,0.8787567701640991,0.9147836548572817,0.03940590540838061,24573,12,Men
2025,Noncitizen,1,0.8842250616329385,0.9202029628032519,0.039090506676994694,19575,11,Men
2026,Noncitizen,1,0.8953170596909538,0.9257894162218879,0.03290627056322061,13085,8,Men
