IND1990,nat_emp_0,nat_lf_0,nat_unemp_0,nat_emp_nc_0,nat_lf_nc_0,nat_unemp_nc_0,for_emp_0,nat_hrs_0,n_nat_0,nat_emp_1,nat_lf_1,nat_unemp_1,nat_emp_nc_1,nat_lf_nc_1,nat_unemp_nc_1,for_emp_1,nat_hrs_1,n_nat_1,foreign_share,emp_tot,d_log_nat_emp,d_log_nat_emp_nc,d_log_for_emp,d_nat_unrate,d_nat_unrate_nc,d_nat_hrs
111,1139761.1366,1169717.8002,29956.663599999996,815621.4097000001,845578.0733000003,29956.663599999996,835078.0603000002,40.41274123672779,364,1242540.6038999995,1269942.2734999994,27401.6696,953918.6710000001,981320.3405999998,27401.6696,683280.2465999997,38.50313523362611,328,0.3614474041870324,7261379.276199993,0.08633944649603542,0.15662812868915843,-0.20062011332654883,-0.0040330645029483594,-0.007504169909561039,-1.909606003101679
112,674658.4686999995,699284.3109999994,24625.8423,411838.5671999999,425022.14889999985,13183.581699999999,301355.97769999993,41.87821155795584,260,855960.5052000001,929012.0844999998,73051.5793,640349.4686000004,663058.5828000003,22709.1142,246843.73479999998,40.20605794337475,281,0.23029207507745383,2841422.702800002,0.23801764576321283,0.4413826266323344,-0.1995367323478927,0.04341783599156578,0.0032304556658855725,-1.6721536145810845
120,3272950.1662999997,3465123.8929000013,192173.72660000002,2138638.7647,2247623.504999999,108984.74030000002,434626.32719999994,40.86415450230765,936,3117553.3265000023,3193754.7752000014,76201.44870000001,1879026.6496000006,1939182.8465000002,60156.19690000001,328923.2582,40.338005470671824,831,0.1199812661546996,12021507.1913,-0.04864326574901234,-0.12941563218622143,-0.27866217818452554,-0.03159989224277822,-0.01746746173200438,-0.5261490316358248
121,2035239.9194000007,2144932.7175000017,109692.7981,1511265.6272999996,1615379.5873,104113.96,653724.7003000001,41.798435073097465,626,1914940.0983000016,1972888.3002000013,57948.2019,1328982.5070000004,1361310.3615000006,32327.854500000005,485352.7148999998,41.64374090118554,534,0.24099054929592992,8346535.307200003,-0.06092736657409148,-0.1285338464222967,-0.2978104414425271,-0.02176817074938507,-0.040704099250702015,-0.15469417191192747
122,746939.5592999996,764154.9216999997,17215.362399999998,536800.1397999999,554015.5022,17215.362399999998,294400.75219999993,41.42587665092745,198,764621.0448000003,804396.3014000002,39775.2566,457054.5911000001,494414.1266000001,37359.535500000005,205934.45979999995,42.58869261855034,230,0.2779024954279216,2943537.570399997,0.023396074203272832,-0.16082300696859697,-0.35738398002218474,0.026918710424148427,0.044489452578855455,1.1628159676228904
141,512754.8781000004,517298.8739000003,4543.9958,483857.84350000037,488401.8393000004,4543.9958,79119.26319999999,42.03817161815343,140,251428.3450000001,305495.3746000002,54067.0296,180859.56260000003,234926.59220000016,54067.0296,55683.7258,42.71121887443568,72,0.15332690905598945,1638094.1809000014,-0.712639872102061,-0.9840703189338171,-0.3512684465353093,0.16819741772840144,0.22084055174185638,0.6730472562822527
142,885320.8764000002,916755.6984000001,31434.822,632926.7522999999,655557.5023999999,22630.750100000005,217374.943,40.56898748492041,257,578436.3974000002,582636.5071000002,4200.1097,499606.39089999994,503806.5005999999,4200.1097,202524.08550000002,39.85900524154617,157,0.16498364398277643,2923359.112799998,-0.4256215549015394,-0.23653413007955137,-0.07076489024030153,-0.027080403338820516,-0.02618462898377167,-0.7099822433742418
150,470500.49540000013,500039.79950000026,29539.304100000005,338333.2271000002,367872.5312000002,29539.304100000005,159491.2627,35.66700411121484,188,522422.3790000003,575320.8482,52898.4692,401049.52090000006,452876.5897,51827.0688,140294.5774,38.35533994633233,185,0.2087188265699966,2236890.1094000023,0.10467940391819042,0.1700536243805022,-0.12824480508826674,0.03287212616486861,0.034142055274293315,2.688335835117492
151,1433302.9235999996,1503400.5880999996,70097.6645,1015717.8481999998,1056420.7739999997,40702.9258,738902.6199999998,40.406495805052224,419,957625.2453000003,986381.7868000004,28756.541500000007,506032.83749999997,523249.87109999993,17217.033600000002,500711.3042,39.80850159231472,261,0.36416404581033746,6737031.860300007,-0.40328027970395297,-0.6967493176788704,-0.38913644372611955,-0.017472511380965543,-0.005625047083230812,-0.597994212737504
160,1976288.1925000015,2004154.9473000022,27866.754800000002,1486946.4360000012,1509973.7093000012,23027.2733,213575.70090000005,43.442086179605745,629,1636230.0830000017,1645383.6561000014,9153.5731,1418345.0518000012,1427498.6249000013,9153.5731,134467.56840000002,43.80910292393084,486,0.09816079941588872,6654856.5098000085,-0.1888255692754175,-0.047233909847632205,-0.46266829795491304,-0.008341306535322428,-0.008837798808479262,0.3670167443250918
