yr,p10,p25,p50,p75,mean,n,grp,g_p10,g_p25,g_p50,g_mean
2023,19.875990150413863,27.27619159289441,39.953087106905734,59.01455923414441,47.54101290222977,28512,"Native, BA+",0.0046611767797277714,0.004838216741687162,0.009743796536624272,0.08351190237630979
2024,20.26503730072054,26.986137158987646,40.77184596805635,61.05159226987604,52.91036958160088,29616,"Native, BA+",0.0195737242453089,-0.010633978461359828,0.02049300618397254,0.11294157090033896
2025,20.03525660195611,27.341804143753823,40.26941922895319,60.14697236552939,53.47252987343876,26255,"Native, BA+",-0.01133877502195657,0.013179618211779598,-0.012322884264224787,0.010624765925531632
2026,19.991465820012355,26.831835815064824,39.6515009900016,59.62157882955433,53.68563258480196,18521,"Native, BA+",-0.0021856861039394326,-0.018651597605182202,-0.015344602698101784,0.003985274530073246
2018,12.27450988159516,15.136246454751944,20.604827988523308,30.06918559819681,25.040267471932978,49023,"Native, no BA",NA,NA,NA,NA
2019,12.691298873889629,15.696546553582309,21.08549680205479,30.54286350217891,25.534849104452086,46612,"Native, no BA",0.03395565251199306,0.03701710992255025,0.023327970211603377,0.019751451659750563
2020,12.949690348618748,16.754284043429085,22.200726141078842,32.17496542185339,26.672914603242056,40644,"Native, no BA",0.02035973443669503,0.06738663732407923,0.052890825836049205,0.04456911000862518
2021,13.006406523005245,16.871517895407745,21.776593175950524,30.823052234850714,25.99865197457599,39377,"Native, no BA",0.004379732090856292,0.006997246296814419,-0.01910446363029228,-0.025278925782790562
2022,13.543300719657154,16.95752098302122,21.48206402138547,29.851692002910976,25.56824549158883,39051,"Native, no BA",0.04127921080294317,0.005097531125926924,-0.013525033607659331,-0.016554953826377283
2023,13.609504958218357,16.79546745997259,21.84087160060767,30.47360367004669,26.218505613619282,37636,"Native, no BA",0.004888338517442303,-0.00955643948256868,0.016702658499900602,0.025432332548761316
2024,13.860873716877538,17.16020132423191,22.108159308631965,30.93084640636293,27.006186094553307,38370,"Native, no BA",0.0184700883265696,0.021716207966736567,0.012237959771571383,0.030042920544062657
2025,13.958533965478926,17.418124756984952,22.535477010549947,31.261257057533488,27.32088747965655,33635,"Native, no BA",0.007045749827622627,0.015030326735667732,0.019328506546048674,0.011652936997524233
2026,14.044525901568647,17.245414323482116,22.29289825645817,30.98677202101915,27.16275544760865,24074,"Native, no BA",0.006160527767628654,-0.009915558414724024,-0.01076430527644101,-0.005787953709982863
2018,13.29343741195052,17.30901314848085,26.015423594104906,41.06364553057714,32.43358804844589,80592,Native-born,NA,NA,NA,NA
2019,13.308066361556065,18.24978402484298,26.216601186469862,41.71379205678396,33.009445400465964,77120,Native-born,0.0011004640223748474,0.05435150278597467,0.007733012366192726,0.017754969051216873
2020,14.362383841195339,19.308762666728153,28.131890596089168,44.5301521438451,34.82142573814676,70239,Native-born,0.0792239421562364,0.05802691365791568,0.07305635829741997,0.05489278343510784
2021,14.654077503554372,18.969936989621598,27.595767148217217,43.400615605832535,34.02453908764523,68311,Native-born,0.020309557632234743,-0.017547767454327956,-0.01905749796803491,-0.02288495182517869
2022,14.698254330421635,18.93589843104036,27.144858882199813,42.50475827940616,33.35553386409524,68064,Native-born,0.003014644003114242,-0.001794342205768018,-0.01633976194956166,-0.019662433099436494
2023,15.288610120425371,19.207568807339452,27.395310951254704,43.09268163181028,35.409437881230865,66148,Native-born,0.04016502754220608,0.014346843762837347,0.009226501052806091,0.061576109844444726
2024,15.751028025538252,19.458534256385775,27.723764782425658,43.71506326092147,38.31903251831127,67986,Native-born,0.03024590865163712,0.013065966419988806,0.011989417888170095,0.0821700318101537
2025,15.505749041826366,19.73984487322675,28.141682382830155,44.288461962218776,38.84841680231049,59890,Native-born,-0.015572252383412533,0.014456927389001839,0.01507434519389017,0.01381517875604632
2026,15.19115947019542,19.568273215844947,27.78809767667511,43.38755323163171,38.673515825419884,42595,Native-born,-0.02028857624242142,-0.008691641625538149,-0.012564448043474896,-0.004502139116263848
