date,n_noncit,n_natzd,n_native,n_total,sh_noncit,sh_natzd
2019-05-01,6303,6661,81980,94944,0.06638650151668352,0.07015714526457702
2019-06-01,6155,6781,82246,95182,0.06466558803135046,0.0712424618100061
2019-07-01,5863,6625,81996,94484,0.06205283434232251,0.07011769188434021
2019-08-01,5943,6785,83287,96015,0.06189657865958444,0.07066604176430766
2019-09-01,5978,6665,82915,95558,0.06255886477322674,0.0697482157433182
2019-10-01,5880,6596,83500,95976,0.06126531632908227,0.06872551471201134
2019-11-01,5932,6669,83195,95796,0.061923253580525285,0.06961668545659526
2019-12-01,6004,6510,83109,95623,0.06278824132269432,0.06807985526494671
2020-01-01,6096,6597,82109,94802,0.06430244087677475,0.06958713951182464
2020-02-01,6278,6803,82251,95332,0.06585406788906138,0.07136113791801284
2020-03-01,5328,5823,73868,85019,0.06266834472294429,0.06849057269551512
2020-04-01,4903,5749,71937,82589,0.05936625942922181,0.06960975432563658
2020-05-01,4567,5645,69599,79811,0.0572226886018218,0.07072959867687412
2020-06-01,4160,5487,66794,76441,0.05442105676273204,0.07178085059065162
2020-07-01,4246,5512,68199,77957,0.05446592352194159,0.07070564541991098
2020-08-01,4534,5777,70865,81176,0.055853946979402776,0.07116635458756283
2020-09-01,5344,6239,78494,90077,0.05932702021603739,0.06926296390865593
2020-10-01,5742,6272,80138,92152,0.06231009636253147,0.06806146366872125
2020-11-01,5785,6210,78873,90868,0.0636637760267641,0.06834089008231721
2020-12-01,5465,5833,76619,87917,0.06216090175961418,0.06634666787993221
2021-01-01,5628,6211,77728,89567,0.06283564259157949,0.0693447363426262
2021-02-01,5619,6240,76888,88747,0.06331481627547973,0.07031223590656585
2021-03-01,5454,6069,75556,87079,0.0626327817269376,0.06969533412188932
2021-04-01,5694,6389,77820,89903,0.06333492764423879,0.07106548168581693
2021-05-01,5604,6302,77243,89149,0.0628610528441149,0.07069064151028054
2021-06-01,5279,6177,74643,86099,0.06131313952543003,0.07174299353070303
2021-07-01,5367,6257,74471,86095,0.06233811487310529,0.07267553284162843
2021-08-01,5403,6211,74674,86288,0.06261589096977563,0.07197988132764695
2021-09-01,5397,6062,72752,84211,0.06408901449929344,0.07198584507962143
2021-10-01,5570,6172,73882,85624,0.06505185462019994,0.07208259366532747
