date,window,pctile,wage,n,months,wage_lag12,yoy
2025-07-01,6,p10,14.705555555555556,32868,6,14.469047619047618,0.016345784652515016
2025-08-01,6,p10,14.71574074074074,32545,6,14.483512544802867,0.016033969330264686
2025-09-01,6,p10,14.755555555555556,32193,6,14.5,0.017624521072796995
2025-10-01,6,p10,14.766666666666667,26826,5,14.507692307692308,0.01785083068221982
2025-11-01,6,p10,14.794444444444444,26736,5,14.616666666666667,0.012162675788673472
2025-12-01,6,p10,14.795555555555556,26468,5,14.677777777777777,0.008024224072672226
2026-01-01,6,p10,14.867407407407407,26401,5,14.75,0.007959824231010604
2026-02-01,6,p10,14.905079365079365,26491,5,14.761111111111111,0.009753212538308409
2026-03-01,6,p10,14.911111111111111,26569,5,14.77037037037037,0.00952858575727178
2026-04-01,6,p10,14.966666666666667,31857,6,14.766161616161616,0.013578684543557928
2026-05-01,6,p10,15,32052,6,14.746153846153845,0.017214397496087663
2026-06-01,6,p10,15.061111111111112,32139,6,14.74074074074074,0.021733668341708645
2026-07-01,6,p10,15.072222222222223,32289,6,14.705555555555556,0.02493388741972047
2026-08-01,6,p10,15.116666666666667,31982,6,14.71574074074074,0.027244698924054678
2023-01-01,6,p20,15.658412698412699,33200,6,14.916666666666666,0.04972599095504138
2023-02-01,6,p20,15.74088319088319,33020,6,14.972222222222221,0.051339137053422856
2023-03-01,6,p20,15.781746031746032,33293,6,15,0.052116402116402005
2023-04-01,6,p20,15.884062850729517,33203,6,15,0.05893752338196778
2023-05-01,6,p20,16.016666666666666,33112,6,15.033333333333333,0.06541019955654104
2023-06-01,6,p20,16.067777777777778,33118,6,15.083333333333334,0.06526703499079178
2023-07-01,6,p20,16.184126984126983,32916,6,15.116666666666667,0.07061479498083689
2023-08-01,6,p20,16.251851851851853,32932,6,15.185185185185185,0.07024390243902445
2023-09-01,6,p20,16.33888888888889,32660,6,15.311111111111112,0.06712626995645854
2023-10-01,6,p20,16.377777777777776,32799,6,15.405050505050506,0.06314340043275846
2023-11-01,6,p20,16.430555555555557,32818,6,15.47283950617284,0.06189659299449457
2023-12-01,6,p20,16.474074074074075,33030,6,15.594444444444445,0.05640660254126595
2024-01-01,6,p20,16.566666666666666,33322,6,15.658412698412699,0.05800421701402958
2024-02-01,6,p20,16.668518518518518,33520,6,15.74088319088319,0.05893159337924536
2024-03-01,6,p20,16.729012345679013,33975,6,15.781746031746032,0.0600229095074456
2024-04-01,6,p20,16.82777777777778,34022,6,15.884062850729517,0.059412691571219645
2024-05-01,6,p20,16.846296296296295,34206,6,16.016666666666666,0.05179789571048676
2024-06-01,6,p20,16.905555555555555,34310,6,16.067777777777778,0.05214023926422784
2024-07-01,6,p20,16.92936507936508,34056,6,16.184126984126983,0.0460474695959201
2024-08-01,6,p20,16.97962962962963,33933,6,16.251851851851853,0.04478122151321795
2024-09-01,6,p20,17.06111111111111,33667,6,16.33888888888889,0.04420265215912944
2024-10-01,6,p20,17.09722222222222,33601,6,16.377777777777776,0.04392808683853455
2024-11-01,6,p20,17.23888888888889,33547,6,16.430555555555557,0.04919695688926451
2024-12-01,6,p20,17.344444444444445,33676,6,16.474074074074075,0.05283273381294973
2025-01-01,6,p20,17.394814814814815,33873,6,16.566666666666666,0.04998882181980768
2025-02-01,6,p20,17.43989898989899,34000,6,16.668518518518518,0.04627768631768192
2025-03-01,6,p20,17.445238095238096,34206,6,16.729012345679013,0.04281339117692018
2025-04-01,6,p20,17.46932006633499,33993,6,16.82777777777778,0.03812400526256132
2025-05-01,6,p20,17.452910052910052,33722,6,16.846296296296295,0.03600873129289095
2025-06-01,6,p20,17.466666666666665,33422,6,16.905555555555555,0.03319093000328621
