date,emp_nat,emp_nzd,emp_ncz,emp_for,emp_all,pop_nat,pop_all,un_nat,lf_nat,emp_nat_prime,pop_nat_prime,epop_nat_men,unrate_nat_men,epop_nat_men_prime
2016-11-01,65451.99719230035,6427.5435798,8738.171839400002,15165.715419200038,80617.71261150073,102704.72068720148,122998.3539982026,3290.5310918,68742.52828410018,41318.82839080008,49218.9709605004,0.6372832402868959,0.047867472639365874,0.8394898874249036
2016-12-01,65464.8234643999,6460.04520039999,8466.87022599998,14926.915426400034,80391.73889080044,102926.21231489973,123098.61598260017,3540.0302759999986,69004.85374039979,41388.59262079994,49443.32182490022,0.6360364574974564,0.05130117787536794,0.8370916656323073
2017-01-01,64961.04926109997,6287.675423199996,8591.259799100004,14878.935222300006,79839.98448339965,102645.90242789923,122780.7280063003,3740.4704980999954,68701.51975919971,41045.28769010023,49267.7076600006,0.6328654892651956,0.0544452366004482,0.8331073159189021
2017-02-01,65491.58968860036,6465.497705799997,8383.933263999983,14849.430969800016,80341.02065840038,102914.58903469937,122861.74098899927,3717.867972500002,69209.45766110046,41173.63733120005,49378.21811210036,0.6363683740360541,0.053719073926360925,0.8338421049890065
2017-03-01,65720.57879469974,6428.4441588000145,8468.141276699987,14896.5854355,80617.16423019988,102902.80833369978,122945.26898799908,3558.3888894000024,69278.96768409952,41314.044594199564,49353.75262779917,0.6386665228958268,0.051363191576780695,0.8371003701738552
2017-04-01,66141.66750559963,6779.643089100007,8563.438954999985,15343.082044099967,81484.74954969992,102800.076101,123031.57600020037,3055.660272,69197.3277775999,41403.99067979998,49052.836615899745,0.6434009585811603,0.04415864557401533,0.844069243212318
2017-05-01,66444.12272189997,6737.716319000001,8498.665568599998,15236.381887600004,81680.50460950054,103020.31908769977,123120.48899079948,2986.949842500003,69431.07256440002,41604.40996929955,49204.52719599972,0.6449613368537231,0.04302036152083767,0.8455402854207682
2017-06-01,66880.68902110057,6724.386173100015,8682.395159500022,15406.781332600036,82287.47035370006,103004.75600139746,123214.99500659652,3334.858132699998,70215.54715380039,41438.80585729988,49102.9445344996,0.6492970967301083,0.047494583007311936,0.843916922908464
2017-07-01,67468.19276190003,6692.425545099996,8625.538320500007,15317.963865600037,82786.15662749881,103208.93896679838,123311.35600469874,3261.4544023999974,70729.64716429956,41719.86487799981,49318.97901309969,0.6537049352246911,0.04611156047228524,0.8459190703627204
2017-08-01,66927.43992199941,6636.792085499995,8524.257329500006,15161.049414999907,82088.48933700065,103210.59736910148,123413.42100240252,3139.928440800003,70067.36836280025,41409.88547130011,49216.53274770004,0.6484551163157565,0.044812992326782396,0.8413816081596129
