grp,yr,epop,lfpr,unrate,n
"NA, Hispanic",2020,0.6817767025325325,0.7684187678597049,0.11275370794039803,2949
"NA, Hispanic",2021,0.7103022115847767,0.7584836223944811,0.06352333707298519,2970
"NA, Hispanic",2022,0.7275653357024524,0.7626327153955706,0.045982002850387234,3041
"NA, Hispanic",2023,0.7285213522259544,0.7714726802119293,0.05567446403179926,2888
"NA, Hispanic",2024,0.7524108527134817,0.7796674696465783,0.03495928455941872,2706
"NA, Hispanic",2025,0.7671083149638686,0.8026222835454059,0.04424742411170275,2421
"NA, Hispanic",2026,0.7538557477251985,0.7825590792413918,0.036678804549834965,1812
"NA, non-Hispanic",2015,0.8031051480897466,0.8334838824932157,0.03644789664390026,5810
"NA, non-Hispanic",2016,0.7939032680828,0.8166947879936147,0.027907022606091285,5780
"NA, non-Hispanic",2017,0.8054821453882891,0.8253430739406414,0.024063845907768822,5454
"NA, non-Hispanic",2018,0.7994619118574344,0.8267322086520908,0.032985646995801275,5388
"NA, non-Hispanic",2019,0.7924896953508425,0.8125707340946651,0.024712973161895267,4925
"NA, non-Hispanic",2020,0.7568426318900408,0.8071377962930883,0.0623129837730761,4498
"NA, non-Hispanic",2021,0.77349751127966,0.8153344258455635,0.0513125819782643,4547
"NA, non-Hispanic",2022,0.8103865068016679,0.8384751675472769,0.03349969305325237,4245
"NA, non-Hispanic",2023,0.812649330841443,0.8386285924474473,0.030978268377645484,4000
"NA, non-Hispanic",2024,0.8253773973110535,0.8559463391597172,0.03571361947604525,3947
"NA, non-Hispanic",2025,0.8280415086331121,0.869206338811985,0.04735910029733188,3442
"NA, non-Hispanic",2026,0.8183560690601693,0.8512487276255121,0.03864047897856425,2553
