yr,exp_q,grp,w,sh
2025,Q1 lowest,Native women,143391054.57589862,0.2061205759726983
2025,Q1 lowest,Noncitizens,7972052.180500006,0.04720793504117876
2026,Q1 lowest,Native women,104356565.04910032,0.20656537415587808
2026,Q1 lowest,Native men,73674773.75100046,0.13726919245702898
2026,Q1 lowest,Naturalized citizens,11689132.4344,0.09047163989756365
2026,Q1 lowest,Noncitizens,5145892.646300003,0.04337542367285817
2015,Q4 highest,Native men,239682000.61339983,0.3169709177673029
2015,Q4 highest,Native women,125467561.3936982,0.17787004476447793
2015,Q4 highest,Naturalized citizens,55469256.596800044,0.39209027687902187
2015,Q4 highest,Noncitizens,93733462.2555998,0.6099957310241645
2016,Q4 highest,Native women,128819633.89719965,0.18036306376978367
2016,Q4 highest,Native men,250348128.2265,0.3254920295389072
2016,Q4 highest,Naturalized citizens,57610026.72900021,0.39386187121062577
2016,Q4 highest,Noncitizens,97022943.20929937,0.6098677631785357
2017,Q4 highest,Native men,252285864.79659814,0.32421258092367167
2017,Q4 highest,Native women,128790155.53329965,0.17809788624184922
2017,Q4 highest,Naturalized citizens,60284095.27319996,0.4030994379101218
2017,Q4 highest,Noncitizens,100000490.01240005,0.6198250723663363
2018,Q4 highest,Native men,253064562.95860192,0.321016029480476
2018,Q4 highest,Noncitizens,100738845.92989993,0.6113829126640682
2018,Q4 highest,Native women,131881752.82090051,0.18010936520348814
2018,Q4 highest,Naturalized citizens,64174424.26869996,0.40516314912132845
2019,Q4 highest,Native men,255668573.62769914,0.32108132732207634
2019,Q4 highest,Native women,132719977.55420111,0.17862221514148297
2019,Q4 highest,Noncitizens,96928187.64259985,0.5980794403384418
2019,Q4 highest,Naturalized citizens,65855813.19979985,0.4015274324303779
2020,Q4 highest,Native men,235144217.6385027,0.3098271420441077
2020,Q4 highest,Native women,119766501.23450045,0.17026985275909123
2020,Q4 highest,Noncitizens,84381590.54720017,0.5886564309340345
2020,Q4 highest,Naturalized citizens,58455874.950199835,0.3856181955905374
2021,Q4 highest,Native women,124491198.5336998,0.17236086622516233
